Country,Artist,Album,Genre,Release Year,Monthly Listeners (Millions),Total Streams (Millions),Total Hours Streamed (Millions),Avg Stream Duration (Min),Platform Type,Streams Last 30 Days (Millions),Skip Rate (%),reach_cohort,Momentum_Category,Hours per Stream,Engagement_Category
France,BTS,Proof,Jazz,2023,6.53,4982.14,14641.63,4.19,Premium,71.61,33.73,Emerging (<10M),Legacy Decliner,2.9388234774614923,Polarizing Tracks
Canada,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,R&B,2019,32.48,3703.62,11916.64,3.68,Premium,189.56,22.98,Mid-Tier (10–50M),Stable Superstar,3.2175655169806836,Polarizing Tracks
Turkey,The Weeknd,After Hours,Rock,2023,31.6,2477.66,6641.4,2.97,Free,4.97,19.64,Mid-Tier (10–50M),Background Catalog,2.6805130647465756,Casual Listening
Japan,SZA,SOS,Classical,2022,80.84,1736.76,4958.31,4.1,Premium,12.85,6.76,Superstar (50M+),Background Catalog,2.8549195052857046,Loyal Hits
United Kingdom,Post Malone,Austin,Hip Hop,2019,86.21,4804.77,15601.96,4.38,Premium,117.62,14.13,Superstar (50M+),Stable Superstar,3.247181446770605,Loyal Hits
Japan,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Reggaeton,2019,94.92,3969.62,17550.98,3.8,Free,141.73,22.92,Superstar (50M+),Stable Superstar,4.421324963094705,Polarizing Tracks
Argentina,Post Malone,Austin,Indie,2019,66.89,4081.55,13292.66,3.97,Premium,26.34,29.42,Superstar (50M+),Legacy Decliner,3.256767649544903,Polarizing Tracks
Turkey,BLACKPINK,BORN PINK,Classical,2021,19.03,1625.17,6691.82,3.72,Free,187.4,6.49,Mid-Tier (10–50M),High-Momentum Growth,4.117612311327431,Loyal Hits
Brazil,The Weeknd,After Hours,Indie,2023,17.62,4432.34,11867.38,3.92,Premium,89.88,11.34,Mid-Tier (10–50M),Legacy Decliner,2.677452541998132,Loyal Hits
France,Karol G,MAÑANA SERÁ BONITO,Hip Hop,2019,26.41,584.77,1463.42,3.27,Premium,193.85,35.5,Mid-Tier (10–50M),High-Momentum Growth,2.502556560699078,Weak Engagement
Russia,SZA,SOS,EDM,2022,55.06,552.07,1909.6,4.23,Free,33.37,3.87,Superstar (50M+),Background Catalog,3.458981650877606,Loyal Hits
India,BTS,Proof,Pop,2023,26.85,568.39,1809.54,4.28,Free,146.67,22.33,Mid-Tier (10–50M),High-Momentum Growth,3.1836239201956404,Polarizing Tracks
Brazil,Olivia Rodrigo,Guts,Classical,2022,89.43,3537.3,11894.69,3.81,Premium,32.26,4.95,Superstar (50M+),Legacy Decliner,3.362646651400786,Loyal Hits
Australia,The Weeknd,After Hours,EDM,2023,55.86,4631.59,16582.25,3.82,Premium,48.27,2.94,Superstar (50M+),Legacy Decliner,3.5802499789489137,Loyal Hits
Turkey,Ariana Grande,Eternal Sunshine,Rock,2020,6.4,68.89,184.3,4.15,Premium,40.74,2.0,Emerging (<10M),Background Catalog,2.6752794309769197,Loyal Hits
Canada,Billie Eilish,Happier Than Ever,K-pop,2019,47.88,621.77,2530.45,3.44,Premium,19.14,22.22,Mid-Tier (10–50M),Background Catalog,4.069752480820882,Weak Engagement
Canada,Olivia Rodrigo,Guts,EDM,2022,19.47,270.85,915.33,3.03,Premium,113.29,6.89,Mid-Tier (10–50M),High-Momentum Growth,3.3794720324903085,Casual Listening
Germany,Drake,For All The Dogs,Indie,2018,41.98,3794.46,11212.73,2.62,Premium,163.86,17.33,Mid-Tier (10–50M),Stable Superstar,2.955026538690617,Casual Listening
South Africa,Billie Eilish,Happier Than Ever,Rock,2019,88.28,2407.5,6398.92,4.31,Free,100.92,36.12,Superstar (50M+),Background Catalog,2.6579106957424714,Polarizing Tracks
Turkey,Billie Eilish,Happier Than Ever,Classical,2019,12.91,3798.08,10808.42,4.47,Free,161.88,5.92,Mid-Tier (10–50M),Stable Superstar,2.845758909764934,Loyal Hits
Netherlands,Drake,For All The Dogs,EDM,2018,99.73,3154.77,13149.76,3.02,Free,18.32,22.7,Superstar (50M+),Legacy Decliner,4.168215115523477,Weak Engagement
South Africa,Olivia Rodrigo,Guts,K-pop,2022,46.36,4373.66,17814.36,3.75,Premium,23.39,6.84,Mid-Tier (10–50M),Legacy Decliner,4.073101247010513,Loyal Hits
Turkey,Ed Sheeran,Autumn Variations,Classical,2019,92.57,2835.28,7660.87,3.07,Premium,175.7,11.3,Superstar (50M+),Stable Superstar,2.701980051352953,Casual Listening
Russia,Ed Sheeran,Autumn Variations,Classical,2019,4.71,1413.3,3939.86,3.72,Premium,8.72,35.69,Emerging (<10M),Background Catalog,2.787702540154249,Polarizing Tracks
Japan,Karol G,MAÑANA SERÁ BONITO,R&B,2019,74.83,4608.13,19787.6,2.54,Premium,62.88,33.87,Superstar (50M+),Legacy Decliner,4.294062884510637,Weak Engagement
Germany,Doja Cat,Scarlet,R&B,2022,30.75,3731.43,15105.06,3.14,Premium,121.39,4.48,Mid-Tier (10–50M),Stable Superstar,4.04806200303905,Casual Listening
Sweden,The Weeknd,After Hours,EDM,2023,48.96,2606.68,8466.03,2.61,Free,14.06,28.67,Mid-Tier (10–50M),Background Catalog,3.247820983012875,Weak Engagement
Spain,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Jazz,2019,3.87,1004.18,4183.27,4.17,Free,7.58,2.97,Emerging (<10M),Background Catalog,4.165856718914936,Loyal Hits
Italy,Karol G,MAÑANA SERÁ BONITO,R&B,2019,37.47,2347.88,7733.65,4.35,Free,49.15,20.06,Mid-Tier (10–50M),Background Catalog,3.2938863996456376,Loyal Hits
Sweden,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Rock,2019,55.58,1754.03,7323.61,3.02,Free,57.73,16.08,Superstar (50M+),Background Catalog,4.175304869357992,Casual Listening
Canada,Doja Cat,Scarlet,Classical,2022,85.85,3254.53,12547.48,3.04,Premium,103.14,34.72,Superstar (50M+),Stable Superstar,3.8553892574350215,Weak Engagement
United States,Dua Lipa,Future Nostalgia,Reggaeton,2023,18.15,4014.28,11832.25,3.72,Premium,142.84,28.67,Mid-Tier (10–50M),Stable Superstar,2.94753978297478,Polarizing Tracks
Mexico,BLACKPINK,BORN PINK,EDM,2021,46.44,1130.13,3508.25,3.54,Premium,117.31,1.29,Mid-Tier (10–50M),High-Momentum Growth,3.104288887119181,Loyal Hits
Italy,Ariana Grande,Eternal Sunshine,Classical,2020,28.99,3437.85,11906.91,3.17,Premium,128.48,34.6,Mid-Tier (10–50M),Stable Superstar,3.4634757188359004,Weak Engagement
Mexico,Billie Eilish,Happier Than Ever,K-pop,2019,15.84,3839.1,16505.73,4.11,Premium,132.45,27.55,Mid-Tier (10–50M),Stable Superstar,4.299374853481285,Polarizing Tracks
United States,Billie Eilish,Happier Than Ever,Rock,2019,26.68,2121.9,6952.51,2.57,Free,69.29,28.82,Mid-Tier (10–50M),Background Catalog,3.2765493190065507,Weak Engagement
South Africa,Billie Eilish,Happier Than Ever,Rock,2019,36.49,1535.96,4362.09,3.82,Free,59.46,19.36,Mid-Tier (10–50M),Background Catalog,2.839976301466184,Loyal Hits
Mexico,Karol G,MAÑANA SERÁ BONITO,Jazz,2019,94.75,4502.98,17151.26,2.94,Free,149.1,12.98,Superstar (50M+),Stable Superstar,3.80886879355449,Casual Listening
Japan,Olivia Rodrigo,Guts,K-pop,2022,30.11,4263.51,14671.05,4.23,Free,94.97,8.59,Mid-Tier (10–50M),Legacy Decliner,3.441073200250498,Loyal Hits
Germany,Doja Cat,Scarlet,EDM,2022,30.54,317.61,1336.66,2.77,Free,69.19,39.5,Mid-Tier (10–50M),Background Catalog,4.208494694751424,Weak Engagement
Sweden,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Indie,2019,18.86,450.02,1424.43,4.47,Premium,127.27,1.18,Mid-Tier (10–50M),High-Momentum Growth,3.1652593218079197,Loyal Hits
Mexico,The Weeknd,After Hours,Reggaeton,2023,76.68,2473.41,9960.76,2.68,Premium,127.06,16.73,Superstar (50M+),High-Momentum Growth,4.027136625145043,Casual Listening
Russia,BLACKPINK,BORN PINK,Pop,2021,53.84,3666.76,16134.25,4.28,Free,4.57,1.16,Superstar (50M+),Legacy Decliner,4.400137996487362,Loyal Hits
France,The Weeknd,After Hours,Indie,2023,13.76,1948.57,7165.56,2.83,Free,60.34,12.34,Mid-Tier (10–50M),Background Catalog,3.677342871952252,Casual Listening
Indonesia,Ed Sheeran,Autumn Variations,Jazz,2019,43.93,3449.56,9546.93,4.49,Premium,72.49,8.35,Mid-Tier (10–50M),Legacy Decliner,2.7675790535604543,Loyal Hits
Spain,Taylor Swift,1989 (Taylor's Version),R&B,2020,72.99,699.47,2775.6,3.68,Free,25.51,28.73,Superstar (50M+),Background Catalog,3.968147311535877,Polarizing Tracks
India,BLACKPINK,BORN PINK,K-pop,2021,62.69,2989.92,7761.6,2.72,Free,10.6,5.52,Superstar (50M+),Legacy Decliner,2.595922298924386,Casual Listening
Sweden,BLACKPINK,BORN PINK,Hip Hop,2021,26.02,3524.25,10259.06,3.87,Free,60.92,26.8,Mid-Tier (10–50M),Legacy Decliner,2.910990990990991,Polarizing Tracks
Indonesia,BTS,Proof,Classical,2023,70.37,2123.19,9123.87,3.52,Free,57.26,31.61,Superstar (50M+),Background Catalog,4.2972461249346505,Weak Engagement
Russia,The Weeknd,After Hours,Classical,2023,78.02,4165.92,18522.68,3.22,Premium,59.77,2.54,Superstar (50M+),Legacy Decliner,4.446239966201944,Casual Listening
Russia,SZA,SOS,R&B,2022,93.38,1686.49,4225.46,3.84,Free,167.21,27.09,Superstar (50M+),High-Momentum Growth,2.505475870002194,Polarizing Tracks
United Kingdom,Drake,For All The Dogs,Jazz,2018,72.63,551.39,1660.67,2.96,Premium,53.56,2.95,Superstar (50M+),Background Catalog,3.011788389343296,Casual Listening
Canada,Doja Cat,Scarlet,Pop,2022,36.66,3399.99,11396.73,2.73,Free,2.92,6.4,Mid-Tier (10–50M),Legacy Decliner,3.351989270556678,Casual Listening
Canada,Olivia Rodrigo,Guts,Indie,2022,95.55,1378.13,5465.85,3.25,Premium,37.39,16.63,Superstar (50M+),Background Catalog,3.966135270257523,Casual Listening
Sweden,BTS,Proof,EDM,2023,85.22,4009.5,15226.85,4.09,Free,27.37,29.33,Superstar (50M+),Legacy Decliner,3.7976929791744607,Polarizing Tracks
Canada,Drake,For All The Dogs,EDM,2018,48.78,2866.27,9677.46,3.72,Premium,122.66,34.64,Mid-Tier (10–50M),Stable Superstar,3.3763253287373485,Polarizing Tracks
United Kingdom,Dua Lipa,Future Nostalgia,Rock,2023,88.87,2231.41,5861.18,3.81,Free,141.21,27.44,Superstar (50M+),High-Momentum Growth,2.6266710286321207,Polarizing Tracks
Turkey,Karol G,MAÑANA SERÁ BONITO,Classical,2019,97.81,3365.73,10691.58,3.55,Free,87.14,29.34,Superstar (50M+),Legacy Decliner,3.1766006185879436,Polarizing Tracks
Russia,Olivia Rodrigo,Guts,EDM,2022,84.06,2813.8,12593.4,2.61,Free,101.61,19.3,Superstar (50M+),Stable Superstar,4.475584618665151,Casual Listening
Russia,Doja Cat,Scarlet,Reggaeton,2022,75.39,1637.14,5176.29,3.06,Free,110.55,15.77,Superstar (50M+),High-Momentum Growth,3.1617882404681334,Casual Listening
France,Drake,For All The Dogs,Rock,2018,80.32,2268.09,9555.87,3.39,Free,196.15,30.06,Superstar (50M+),High-Momentum Growth,4.213179371188974,Weak Engagement
United States,Drake,For All The Dogs,EDM,2018,4.55,2768.04,11492.4,4.08,Premium,178.13,22.93,Emerging (<10M),Stable Superstar,4.151818615337929,Polarizing Tracks
Sweden,Olivia Rodrigo,Guts,Indie,2022,81.84,4229.37,13381.5,4.03,Premium,143.61,15.17,Superstar (50M+),Stable Superstar,3.16394640336504,Loyal Hits
Sweden,Drake,For All The Dogs,Hip Hop,2018,22.95,1739.72,7236.83,4.43,Premium,109.99,15.58,Mid-Tier (10–50M),High-Momentum Growth,4.159767088956843,Loyal Hits
Germany,Taylor Swift,1989 (Taylor's Version),Reggaeton,2020,14.9,3598.44,14189.07,2.71,Free,38.32,37.28,Mid-Tier (10–50M),Legacy Decliner,3.9431170173741954,Weak Engagement
Spain,The Weeknd,After Hours,Rock,2023,71.96,583.44,1942.24,4.35,Free,154.66,18.57,Superstar (50M+),High-Momentum Growth,3.3289455642396817,Loyal Hits
Turkey,Ariana Grande,Eternal Sunshine,Reggaeton,2020,1.43,3694.26,13323.17,3.37,Premium,184.95,31.46,Emerging (<10M),Stable Superstar,3.60645163036711,Weak Engagement
Canada,Karol G,MAÑANA SERÁ BONITO,Classical,2019,73.32,685.49,2244.85,3.7,Premium,101.32,16.0,Superstar (50M+),Background Catalog,3.2748107193394507,Loyal Hits
Argentina,SZA,SOS,R&B,2022,40.39,1747.15,5395.81,4.11,Free,83.14,28.3,Mid-Tier (10–50M),Background Catalog,3.088349597916607,Polarizing Tracks
Indonesia,BTS,Proof,Jazz,2023,71.48,4680.78,17623.92,2.9,Premium,137.64,36.93,Superstar (50M+),Stable Superstar,3.765167343904221,Weak Engagement
United Kingdom,Karol G,MAÑANA SERÁ BONITO,Reggaeton,2019,54.71,3202.54,12556.22,4.02,Premium,116.98,37.76,Superstar (50M+),Stable Superstar,3.9207066890655544,Polarizing Tracks
Netherlands,Billie Eilish,Happier Than Ever,Jazz,2019,87.87,2140.81,5406.7,2.71,Premium,29.92,27.14,Superstar (50M+),Background Catalog,2.525539398638833,Weak Engagement
Australia,BTS,Proof,Reggaeton,2023,68.66,774.82,2033.18,4.07,Free,150.97,2.26,Superstar (50M+),High-Momentum Growth,2.624067525360729,Loyal Hits
Sweden,Drake,For All The Dogs,Classical,2018,74.21,4330.97,17258.16,3.62,Free,102.67,32.08,Superstar (50M+),Stable Superstar,3.984825570253315,Polarizing Tracks
South Korea,Karol G,MAÑANA SERÁ BONITO,Pop,2019,39.37,4785.67,21304.11,3.13,Free,3.58,10.8,Mid-Tier (10–50M),Legacy Decliner,4.451646268965474,Casual Listening
Argentina,Doja Cat,Scarlet,Rock,2022,91.24,3537.91,13427.31,4.01,Free,155.45,38.61,Superstar (50M+),Stable Superstar,3.7952661316992233,Polarizing Tracks
South Korea,Dua Lipa,Future Nostalgia,Reggaeton,2023,8.37,4814.25,19113.34,2.74,Free,86.27,22.71,Emerging (<10M),Legacy Decliner,3.970159422547645,Weak Engagement
United Kingdom,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Classical,2019,1.56,2358.34,10317.71,2.58,Premium,119.78,31.17,Emerging (<10M),High-Momentum Growth,4.374988339255578,Weak Engagement
Argentina,Doja Cat,Scarlet,K-pop,2022,79.2,2773.29,7337.46,3.92,Free,191.44,21.3,Superstar (50M+),Stable Superstar,2.6457600900014064,Polarizing Tracks
Indonesia,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,EDM,2019,54.17,505.13,1486.29,2.93,Premium,66.88,12.45,Superstar (50M+),Background Catalog,2.9423910676459526,Casual Listening
Argentina,Ariana Grande,Eternal Sunshine,Rock,2020,82.55,4906.61,12352.92,3.84,Premium,48.83,26.05,Superstar (50M+),Legacy Decliner,2.5176078799823096,Polarizing Tracks
Argentina,The Weeknd,After Hours,Pop,2023,88.68,1937.79,7930.24,2.73,Premium,108.51,12.03,Superstar (50M+),High-Momentum Growth,4.092414554724712,Casual Listening
Indonesia,Doja Cat,Scarlet,Indie,2022,80.48,2255.51,5836.59,4.3,Free,64.74,4.21,Superstar (50M+),Background Catalog,2.587703002868531,Loyal Hits
Germany,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Jazz,2019,1.73,374.09,1436.76,4.05,Premium,167.3,9.02,Emerging (<10M),High-Momentum Growth,3.840680050255286,Loyal Hits
Netherlands,Billie Eilish,Happier Than Ever,Hip Hop,2019,68.92,167.58,659.22,2.58,Free,11.8,31.97,Superstar (50M+),Background Catalog,3.9337629788757607,Weak Engagement
South Africa,Drake,For All The Dogs,Classical,2018,91.19,2067.78,7035.11,3.31,Premium,4.36,27.26,Superstar (50M+),Background Catalog,3.402252657439379,Weak Engagement
South Africa,Taylor Swift,1989 (Taylor's Version),Classical,2020,75.84,2948.76,11505.37,2.65,Free,58.68,27.75,Superstar (50M+),Legacy Decliner,3.901765487866086,Weak Engagement
Argentina,Drake,For All The Dogs,K-pop,2018,38.76,4119.51,10552.69,2.81,Free,28.14,16.25,Mid-Tier (10–50M),Legacy Decliner,2.561637185005013,Casual Listening
South Africa,BTS,Proof,Reggaeton,2023,68.05,4575.14,18712.48,3.96,Premium,191.52,1.43,Superstar (50M+),Stable Superstar,4.090034403318805,Loyal Hits
South Africa,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Hip Hop,2019,1.5,3003.44,10735.21,4.39,Premium,42.8,29.92,Emerging (<10M),Legacy Decliner,3.5743047971659165,Polarizing Tracks
Italy,The Weeknd,After Hours,EDM,2023,85.29,755.15,2165.76,3.73,Premium,39.67,8.07,Superstar (50M+),Background Catalog,2.8679864927497847,Loyal Hits
Turkey,Doja Cat,Scarlet,Pop,2022,46.67,2770.84,8537.8,2.63,Free,40.29,23.64,Mid-Tier (10–50M),Legacy Decliner,3.081303864532055,Weak Engagement
Japan,Olivia Rodrigo,Guts,Reggaeton,2022,65.89,545.22,2038.59,4.3,Premium,97.69,13.81,Superstar (50M+),Background Catalog,3.739022779795312,Loyal Hits
South Korea,Karol G,MAÑANA SERÁ BONITO,Classical,2019,56.99,1854.24,5808.72,3.36,Free,63.33,31.64,Superstar (50M+),Background Catalog,3.1326689101734404,Weak Engagement
Netherlands,BTS,Proof,Indie,2023,68.28,1691.24,5851.53,3.39,Premium,97.91,5.24,Superstar (50M+),Background Catalog,3.459905158345356,Casual Listening
Argentina,Drake,For All The Dogs,K-pop,2018,89.24,1022.34,4055.71,3.75,Free,178.53,34.13,Superstar (50M+),High-Momentum Growth,3.9670853140833775,Polarizing Tracks
United States,Doja Cat,Scarlet,Classical,2022,41.11,2970.68,12811.38,3.6,Premium,131.13,6.8,Mid-Tier (10–50M),Stable Superstar,4.312608561002868,Loyal Hits
Spain,The Weeknd,After Hours,Classical,2023,85.86,712.71,2496.09,2.68,Premium,100.93,26.84,Superstar (50M+),Background Catalog,3.5022519678410573,Weak Engagement
Argentina,Billie Eilish,Happier Than Ever,Reggaeton,2019,14.9,838.15,3044.76,3.63,Free,147.45,19.86,Mid-Tier (10–50M),High-Momentum Growth,3.6327149078327268,Loyal Hits
Italy,Taylor Swift,1989 (Taylor's Version),R&B,2020,23.94,1358.57,4032.29,3.84,Premium,78.23,36.8,Mid-Tier (10–50M),Background Catalog,2.9680399243322024,Polarizing Tracks
India,Taylor Swift,1989 (Taylor's Version),Indie,2020,70.67,2630.8,10942.27,4.17,Premium,116.15,23.24,Superstar (50M+),High-Momentum Growth,4.159293750950281,Polarizing Tracks
Spain,Billie Eilish,Happier Than Ever,EDM,2019,59.18,4496.22,11940.5,3.0,Free,103.76,14.76,Superstar (50M+),Stable Superstar,2.655675211622207,Casual Listening
Italy,Dua Lipa,Future Nostalgia,Rock,2023,1.65,4416.07,14925.42,2.96,Premium,43.09,8.29,Emerging (<10M),Legacy Decliner,3.379796968798049,Casual Listening
Italy,Ed Sheeran,Autumn Variations,Hip Hop,2019,23.8,4065.3,16019.36,3.46,Premium,96.33,24.04,Mid-Tier (10–50M),Legacy Decliner,3.940511155388286,Weak Engagement
Netherlands,Taylor Swift,1989 (Taylor's Version),R&B,2020,13.66,2982.12,8258.83,3.53,Free,12.13,11.07,Mid-Tier (10–50M),Legacy Decliner,2.76944925086851,Casual Listening
Canada,Ariana Grande,Eternal Sunshine,EDM,2020,96.96,3206.23,13648.98,3.96,Premium,189.5,9.45,Superstar (50M+),Stable Superstar,4.257018367366034,Loyal Hits
Argentina,Dua Lipa,Future Nostalgia,Rock,2023,22.72,2083.3,5802.87,3.67,Free,125.02,20.92,Mid-Tier (10–50M),High-Momentum Growth,2.785422166754668,Polarizing Tracks
Canada,Karol G,MAÑANA SERÁ BONITO,Indie,2019,60.06,390.77,1272.51,2.76,Free,41.27,34.52,Superstar (50M+),Background Catalog,3.25641681807713,Weak Engagement
Indonesia,Billie Eilish,Happier Than Ever,EDM,2019,60.95,928.24,3994.42,3.7,Free,19.54,26.72,Superstar (50M+),Background Catalog,4.3032189950874775,Polarizing Tracks
Argentina,Ariana Grande,Eternal Sunshine,Pop,2020,65.27,2634.12,8536.54,2.59,Premium,46.67,32.29,Superstar (50M+),Background Catalog,3.24075592607778,Weak Engagement
Spain,Olivia Rodrigo,Guts,Classical,2022,90.88,4194.09,15317.83,3.35,Premium,95.95,10.07,Superstar (50M+),Legacy Decliner,3.6522416066417267,Casual Listening
Brazil,BTS,Proof,Classical,2023,41.46,985.65,3862.07,4.08,Free,104.43,15.63,Mid-Tier (10–50M),High-Momentum Growth,3.9182975701313856,Loyal Hits
Australia,Karol G,MAÑANA SERÁ BONITO,Indie,2019,36.86,816.15,3103.94,3.01,Premium,113.37,24.86,Mid-Tier (10–50M),High-Momentum Growth,3.8031489309563193,Weak Engagement
Spain,Post Malone,Austin,R&B,2019,55.66,2809.94,8029.23,3.62,Premium,51.5,12.96,Superstar (50M+),Legacy Decliner,2.857438237115383,Loyal Hits
Italy,Post Malone,Austin,EDM,2019,14.67,4325.96,11845.22,2.96,Free,20.96,20.83,Mid-Tier (10–50M),Legacy Decliner,2.7381714116635383,Weak Engagement
Japan,Post Malone,Austin,Jazz,2019,70.01,3548.61,10012.32,4.43,Free,161.07,33.11,Superstar (50M+),Stable Superstar,2.821476578153136,Polarizing Tracks
Russia,SZA,SOS,Classical,2022,9.73,1352.31,4383.74,3.72,Premium,186.21,16.63,Emerging (<10M),High-Momentum Growth,3.2416679607486447,Loyal Hits
Indonesia,BTS,Proof,Classical,2023,94.63,4110.13,15538.69,3.38,Free,170.26,37.3,Superstar (50M+),Stable Superstar,3.7805835825144216,Weak Engagement
Indonesia,BTS,Proof,R&B,2023,78.61,2577.21,10043.13,3.73,Free,72.59,26.55,Superstar (50M+),Background Catalog,3.896900136193791,Polarizing Tracks
Canada,Drake,For All The Dogs,K-pop,2018,35.96,2005.96,7366.21,3.54,Free,183.92,22.43,Mid-Tier (10–50M),High-Momentum Growth,3.672161957367046,Polarizing Tracks
South Africa,SZA,SOS,Classical,2022,35.4,4086.8,12066.65,4.43,Premium,186.01,23.42,Mid-Tier (10–50M),Stable Superstar,2.952591269452873,Polarizing Tracks
Mexico,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,EDM,2019,11.54,408.31,1261.07,4.39,Premium,175.35,32.71,Mid-Tier (10–50M),High-Momentum Growth,3.0885111802307073,Polarizing Tracks
Turkey,BTS,Proof,Rock,2023,56.75,3861.34,15503.07,4.42,Premium,136.64,35.96,Superstar (50M+),Stable Superstar,4.014945588837036,Polarizing Tracks
United States,Dua Lipa,Future Nostalgia,Hip Hop,2023,7.69,3186.63,14302.86,3.85,Free,160.23,17.08,Emerging (<10M),Stable Superstar,4.488396833017953,Loyal Hits
Italy,Ariana Grande,Eternal Sunshine,Jazz,2020,70.38,1353.58,4161.69,3.3,Premium,16.13,37.32,Superstar (50M+),Background Catalog,3.0745800026596135,Weak Engagement
Russia,Olivia Rodrigo,Guts,Indie,2022,89.54,1381.93,6072.53,3.87,Free,100.3,8.79,Superstar (50M+),Background Catalog,4.394238492543038,Loyal Hits
France,Doja Cat,Scarlet,K-pop,2022,23.69,4182.96,17454.11,3.21,Free,24.86,4.06,Mid-Tier (10–50M),Legacy Decliner,4.17266959282422,Casual Listening
Russia,Ed Sheeran,Autumn Variations,Pop,2019,95.84,4247.65,13772.55,3.13,Premium,98.67,39.39,Superstar (50M+),Legacy Decliner,3.2423928525184516,Weak Engagement
Indonesia,BTS,Proof,EDM,2023,75.27,684.82,2432.12,3.35,Free,100.99,16.35,Superstar (50M+),Background Catalog,3.551473379866242,Casual Listening
Canada,Dua Lipa,Future Nostalgia,Hip Hop,2023,52.3,1612.47,4058.32,3.85,Premium,116.62,13.69,Superstar (50M+),High-Momentum Growth,2.5168344217256755,Loyal Hits
Argentina,Doja Cat,Scarlet,K-pop,2022,55.31,1223.84,4213.3,3.73,Premium,37.6,17.53,Superstar (50M+),Background Catalog,3.442688586743365,Loyal Hits
Netherlands,Karol G,MAÑANA SERÁ BONITO,Indie,2019,85.58,1434.17,4101.41,2.76,Free,163.02,29.11,Superstar (50M+),High-Momentum Growth,2.859779524045267,Weak Engagement
France,Ariana Grande,Eternal Sunshine,EDM,2020,20.41,4010.19,15948.86,3.45,Free,36.14,20.48,Mid-Tier (10–50M),Legacy Decliner,3.9770833800892227,Casual Listening
Indonesia,Ariana Grande,Eternal Sunshine,Indie,2020,30.7,2832.59,10298.36,3.3,Free,12.95,32.74,Mid-Tier (10–50M),Legacy Decliner,3.635669122605107,Weak Engagement
Russia,Doja Cat,Scarlet,Hip Hop,2022,74.71,1335.86,4302.29,3.61,Premium,69.48,17.06,Superstar (50M+),Background Catalog,3.2206144356444537,Loyal Hits
Italy,Doja Cat,Scarlet,Classical,2022,58.11,3266.83,11685.05,4.46,Premium,71.67,27.25,Superstar (50M+),Legacy Decliner,3.5768772785850502,Polarizing Tracks
Russia,Post Malone,Austin,Rock,2019,38.73,1468.29,5525.8,2.79,Free,128.48,37.21,Mid-Tier (10–50M),High-Momentum Growth,3.763425481342242,Weak Engagement
Netherlands,Billie Eilish,Happier Than Ever,Classical,2019,41.07,4540.01,12068.36,3.19,Premium,64.06,12.36,Mid-Tier (10–50M),Legacy Decliner,2.6582232197726436,Casual Listening
Mexico,Ed Sheeran,Autumn Variations,EDM,2019,88.88,3915.82,17141.66,4.0,Premium,83.38,8.17,Superstar (50M+),Legacy Decliner,4.377540336379099,Loyal Hits
United States,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,R&B,2019,25.91,3732.18,14926.78,2.92,Premium,21.5,3.49,Mid-Tier (10–50M),Legacy Decliner,3.9994801965607234,Casual Listening
Russia,Ariana Grande,Eternal Sunshine,Pop,2020,77.32,2643.71,11875.62,2.71,Free,17.78,37.33,Superstar (50M+),Background Catalog,4.492028248181533,Weak Engagement
Spain,BTS,Proof,R&B,2023,74.02,2243.64,6176.34,3.55,Free,6.69,26.88,Superstar (50M+),Background Catalog,2.752821308231267,Polarizing Tracks
Japan,Doja Cat,Scarlet,Rock,2022,97.52,2725.89,8299.87,3.39,Free,118.58,18.81,Superstar (50M+),Stable Superstar,3.044829395170018,Casual Listening
Turkey,BLACKPINK,BORN PINK,Jazz,2021,64.31,1582.82,5056.06,3.58,Free,88.93,15.27,Superstar (50M+),Background Catalog,3.1943366902111423,Loyal Hits
Mexico,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,K-pop,2019,1.01,4086.13,17144.96,3.19,Premium,107.48,27.82,Emerging (<10M),Stable Superstar,4.195891956447788,Weak Engagement
Russia,Post Malone,Austin,Rock,2019,1.9,2180.65,6729.15,2.96,Free,110.09,8.35,Emerging (<10M),High-Momentum Growth,3.085845963359549,Casual Listening
South Africa,BLACKPINK,BORN PINK,EDM,2021,17.16,3698.73,12129.79,3.26,Premium,16.76,25.39,Mid-Tier (10–50M),Legacy Decliner,3.2794472697385317,Weak Engagement
Indonesia,Post Malone,Austin,Classical,2019,68.78,1459.15,5815.96,4.12,Premium,38.41,3.67,Superstar (50M+),Background Catalog,3.9858547784669156,Loyal Hits
United Kingdom,BTS,Proof,Hip Hop,2023,46.08,2291.2,8937.85,3.48,Premium,4.86,2.94,Mid-Tier (10–50M),Background Catalog,3.9009471019553073,Casual Listening
